check the scrapper output:
title	company	location	salary	posted_date	job_type	workplace_type	description	url	keyword	scraped_at	
Dell Boomi Consultant	AQUA Information Systems, Inc.	Remote		2026-04-08T16:56:36.000Z	Contract Independent	Remote	Role: Dell Boomi Consultant Work Location: Remote Time Zone: PST Visa: GCEAD, L2EAD, H2EAD only Qualifications Proficiency in Dell Boomi integration platform and experience with designing and deploying integration solutions Strong skills in API development, Web Services integration, and middleware technologies Proven experience in data mapping, transformation, and ETL processes Knowledge of cloud-based platforms and databases Detail-oriented with excellent troubleshooting and problem-solving capabilities Ability to collaborate effectively in remote team environments and deliver projects within deadlines Experience with enterprise applications such as Salesforce, NetSuite, or SAP is a plus Bachelor''''s degree in Computer Science, Information Technology, or related field preferred	https://www.dice.com/job-detail/69869960-106c-4e5a-ad8f-0f15d94ca2bf	https://www.dice.com/jobs?q=AQUA%20INFORMATION%20SYSTEMS%20INC&filters.postedDate=ONE	2026-04-09 21:12:45	
Dell Boomi Consultant	AQUA Information Systems, Inc.	Remote		2026-04-08T17:49:28.000Z	Full Time	Remote	Role: Dell Boomi Consultant Work Location: Remote Time Zone: PST Employment Type: Must be on our W2 Candidate Criteria: Strong Dell Boomi experience is required.	https://www.dice.com/job-detail/63df50ae-edd7-4be6-88d2-fa1de927d716	https://www.dice.com/jobs?q=AQUA%20INFORMATION%20SYSTEMS%20INC&filters.postedDate=ONE	2026-04-09 21:12:45	
Dell Boomi Consultant	AQUA Information Systems, Inc.	Remote		2026-04-08T17:26:58.000Z	Full Time	Remote	Hiring, We have an urgent requirement for a Dell Boomi Consultant @ Remote.Please share the resume to # . Job Details: Role: Dell Boomi Consultant Work Location: Remote Time Zone: PST Employment Type: Fulltime Candidate Criteria: We need 10+ yrs of exp of Strong Dell Boomi experience is required	https://www.dice.com/job-detail/a1106cfe-a3cd-4705-b43e-7f2352ae2080	https://www.dice.com/jobs?q=AQUA%20INFORMATION%20SYSTEMS%20INC&filters.postedDate=ONE	2026-04-09 21:12:45	
Sr. Java developer	Ampcus Inc	Wilmington, DE, US		2026-04-09T14:15:12.000Z	Contract W2	On-site	Title: Sr. Java developer Position Type: Contract to hire Location: Wilmington, DE Onsite Technical Requirements Java Spring Boot Microservices REST APIs AWS (EC2, EKS, RDS, S3, Lambda) CI/CD Pipelines PostgreSQL or Cassandra System Design Nice to Have Experience with AI development tools (GitHub Copilot etc.) Experience with large-scale distributed systems High availability and resilient architecture design Work Distribution	https://www.dice.com/job-detail/e2fbccb6-7c80-471f-a05d-bc692cf77634	https://www.dice.com/jobs?q=AMPCUS%20INC&filters.postedDate=ONE	2026-04-09 21:12:45	
Mainframe COBOL Developers	Ampcus Inc	Plano, TX, US		2026-04-09T14:19:34.000Z	Contract W2	On-site	Title : Mainframe COBOL Developers Location: Plano TX (Primary Focus), Columbus OH, Jersey City NJ Onsite Type: Contract Duration: 6 Months + 6 Month Extension Updated Candidate Profiles Now Accepted Mainframe COBOL Developers Mainframe Engineers / Specialists Systems Programmers (original requirement) Minimum Experience 5+ years of experience Experience in COBOL Experience in Mainframe technologies Required Technical Familiarity TSO (Time Sharing Option) Ability to navigate mainframe systems Experience working within mainframe environments	https://www.dice.com/job-detail/e2ecca18-8293-4654-b720-c82e249d908e	https://www.dice.com/jobs?q=AMPCUS%20INC&filters.postedDate=ONE	2026-04-09 21:12:45	
Manager, Forensic Technology Services (eDiscovery Consulting)	Alvarez &amp;amp; Marsal		USD $100,000.00 - 140,000.00 per year	2026-04-09T13:09:18.000Z	Full Time	On-site	{"description": " Description About Alvarez & Marsal Alvarez & Marsal (A&M) is a global consulting firm with over 10,000 entrepreneurial, action and results-oriented professionals in over 40 countries. We take a hands-on approach to solving our clients' problems and assisting them in reaching their potential. Our culture celebrates independent thinkers and doers who positively impact our clients and shape our industry. The collaborative environment and engaging work-guided by A&M's core values of Integrity, Quality, Objectivity, Fun, Personal Reward, and Inclusive Diversity-are why our people love working at A&M. The Team Our talent drives our success, resulting in A&M's Forensic Technology Services being a recognized leading provider of Forensic Technology investigation support services. A&M's team is comprised of experienced digital forensics, eDiscovery, data science, cybersecurity and privacy professionals and experts who come from the world's largest law firms, professional services firms, leading forensic technology firms, Fortune 500 corporations, and law enforcement/government agencies. Our team's expertise spans electronic discovery and disclosure management, digital forensics, forensic data analytics, cyber risk and incident response, privacy, information governance and data compliance. By combining operational expertise with legally defensible procedures and industry-leading technology, A&M's professionals deliver reliable, innovative solutions to meet each of our client's unique needs and challenges. As a firm we are experiencing unprecedented growth and demand for our services and as a result we are expanding our high-profile Forensic team. How you will contribute Serving as a practice leader and primary client contact, you will work closely with our clients to provide eDiscovery support leveraging a broad range of technologies and industry-leading best practices to uncover and manage data-based evidence and intelligence across a variety of contentious legal and regulatory situations. Our eDiscovery Manager position offers an opportunity to be part of a team that supports a variety of industry sectors, dispute types, and geographic jurisdictions. The problems these consultants solve for A&M's clients are complex and require innovative solutions that call on a comprehensive range of best-in-class forensic data and evidence preservation procedures. Some of the key activities you'll be doing include: Serve as the main point of contact in the execution of projects involving the identification, collection, processing, review, and production of electronic data relevant to litigation or investigations. Collaborate with clients to implement efficient workflows, proactively identify and mitigate risk, apply quality control, address technical challenges to make data discoverable, viewable and useful. Lead a team of e-Discovery forensic data collection engineers. Accurately and proactively communicates with client and team members regarding upcoming commitments and deadlines, project status updates, and issues or challenges. Maintain consistent communication and coordination with clients and team members to ensure timely completion of tasks, establish project goals, review associated costs, etc. Responsible for end - to - end project management and execution of projects (e.g., planning, resourcing, organizing, and reviewing), managing time and tasks to meet client deadlines. Lead external and internal meetings to review work results. Ensure eDiscovery best practices are followed to ensure the accuracy and reliability of analysis by performing quality control checks. Provides end - to - end project support for the team and the client in data collection, database administration and management, and analysis, including gathering requirements from stakeholders, developing and maintaining project plans and documents. Responsible for daily electronic data discovery collection efforts including digital forensic data collections. Utilize Relatively and similar eDiscovery tools to collaborate and review workflows with clients. Produce consistent and thorough documentation and summaries of team's data collection efforts, tracking, and reporting. Identifying opportunities for process improvement and streamlining. Who will you be working with? At A&M, you will have the opportunity to work with a close-knit and diverse team of supportive and motivated professionals who enjoy sharing their knowledge and depth of industry experience with others. The Forensic Technology team at A&M is made up of senior eDiscovery, forensic technologists, data analytics, cybersecurity and privacy experts, lawyers, and investigators from various backgrounds who bring and share their extensive expertise in conducting investigations, delivering expert witness reports, and providing forensic technology services. We have an inclusive development environment in which everyone can learn and grow. Our culture is defined by openness and entrepreneurial thinking, with a foundation of mutual respect and high work standards. Through advancement opportunities and a motivating performance-based reward structure, we strive to eliminate bureaucracy in favor of recognizing effort and results. Qualifications: A bachelor's degree from an accredited university is required, with a preference for computer science, information management, data science, or related fields. 5-7+ years of relevant professional experience. Strong analytical and problem-solving skills combined with the ability to synthesize information from several sources and draw coherent, well-evidenced conclusions. Excellent project management and organizational skills, with the ability to manage and prioritize multiple tasks, projects, while meeting established deadlines and delivery objectives. Exceptional client service and follow-up skills, including interpersonal and relationship building skills. Excellent written and verbal communications skills. Fast learner, eager to learn new technologies in a fast-paced, challenging, and uncertain environment. Preferred Attributes: Familiarity with industry-standard review and production tools including Relativity, Reveal, Nuix, Brainspace, etc. Experience in using FTK, EnCase, Macquisition, Paladin, Kali and other digital forensics is advantageous but not required. Extensive experience with standard eDiscovery methodology and best practices. Sound technical understanding of the Electronic Discovery Reference Model (EDRM). Experience using Relativity Server and Relativity one as an advanced user and database administrator. Experience with document review management is beneficial but not required. Your journey at A&M We recognize that our people are the driving force behind our success, which is why we prioritize an employee experience that fosters each person's unique professional and personal development. Our robust performance development process promotes continuous learning, rewards your contributions, and fosters a culture of meritocracy. With top-notch training and on-the-job learning opportunities, you can acquire new skills and advance your career. We prioritize your well-being, providing benefits and resources to support you on your personal journey. Our people consistently highlight the growth opportunities, our unique, entrepreneurial culture, and the fun we have together as their favorite aspects of working at A&M. The possibilities are endless for high-performing and passionate professionals. How will you grow and be supported? As an eDiscovery Manager, you will have the opportunity to take your career to the next level by gaining invaluable experience across different industries, sectors, and companies on a variety of interesting and critical projects, from employee investigations to large corporate litigations. Utilizing your technical background, organizational skills, and relationship skills, you will have the opportunity to apply your analysis skills in complex, ambiguous situations working directly with clients. You will be working closely as a team with experienced professionals who will provide you with developmental feedback and growth opportunities. We offer competitive benefits and opportunities to support your personal and professional development. Click to learn about our commitment to your well-being. A&M recognizes that our people drive our growth, and you will be provided with the best available training and development resources through formalized and on the job training, as well as networking opportunities Learn more about why A&M is a wonderful place to work. Regular employees working 30 or more hours per week are also entitled to participate in Alvarez & Marsal Holdings' fringe benefits consisting of healthcare plans, flexible spending and savings accounts, life, AD&D, and disability coverages at rates determined periodically as well as a 401(k) retirement savings plan. Provided the eligibility requirements are met, employees will also receive an annual discretionary contribution to their 401(k) retirement savings plan from Alvarez & Marsal. Additionally, employees are eligible for paid time off including vacation, personal days, seventy-two (72) hours of sick time (prorated for part time employees), ten federal holidays, one floating holiday, and parental leave. The amount of vacation and personal days available varies based on tenure and role type. Click here for more information regarding A&M's benefits programs. The salary range is $100,000 - $140,000 annually, dependent on several variables including but not limited to education, experience, skills, and geography. In addition, A&M offers a discretionary bonus program which is based on a number of factors, including individual and firm performance. Please ask your recruiter for details. A&M does not require or administer lie detector tests as a condition of employment or continued employment. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability. #LI-NM1", "salary_raw": "Row(double=None, string=None)"}	https://www.dice.com/job-detail/00eaed81-51ae-401c-a818-f4d4f65c9780	https://www.dice.com/jobs?q=ARREGLO%20CONSULTING&filters.postedDate=ONE	2026-04-09 21:12:45	
Java developer	Ampcus Inc	New York, NY, US		2026-04-09T14:16:42.000Z	Contract W2	On-site	Title: Java Backend Developer Position Type: Contract to hire Location: New York, NY Onsite Intermediate Backend Developer Role Overview We are seeking an Intermediate Backend Developer with strong expertise in Java and AWS to join our dynamic engineering team. The ideal candidate will design, build, and maintain scalable backend systems, ensuring high performance and reliability across distributed applications. Key Responsibilities Develop and maintain backend services using Java and Spring Boot. Design and implement microservices architecture for scalable applications. Work with AWS cloud services to deploy, monitor, and optimize backend systems. Integrate and manage Kafka for event-driven messaging. Utilize Cassandra for distributed database solutions. Collaborate with cross-functional teams to deliver high-quality software solutions. Ensure code quality, security, and performance through best practices and testing. Required Skills & Experience Proficiency in Java and Spring Boot frameworks. Hands-on experience with AWS services (EC2, S3, Lambda, etc.). Strong knowledge of Kafka for messaging and streaming. Experience with Cassandra or other NoSQL databases. Solid understanding of microservices architecture and RESTful APIs. Familiarity with CI/CD pipelines and DevOps practices. Strong problem-solving skills and ability to work in a collaborative environment.	https://www.dice.com/job-detail/bf508226-07a3-4b16-9cd7-dc11b9899ed0	https://www.dice.com/jobs?q=AMPCUS%20INC&filters.postedDate=ONE	2026-04-09 21:12:45	
Director, AI Transformation - Private Equity Consulting	Alvarez &amp;amp; Marsal		USD $150,000.00 - 225,000.00 per year	2026-04-09T13:09:44.000Z	Full Time	On-site	{"description": " Description Alvarez & Marsal Private Equity Performance Improvement Director, AI Transformation - Private Equity Consulting About Alvarez & Marsal Alvarez & Marsal (A&M) is a global consulting firm with over 10,000 entrepreneurial, action and results-oriented professionals in over 40 countries. We take a hands-on approach to solving our clients' problems and assisting them in reaching their potential. Our culture celebrates independent thinkers and doers who positively impact our clients and shape our industry. The collaborative environment and engaging work-guided by A&M's core values of Integrity, Quality, Objectivity, Fun, Personal Reward, and Inclusive Diversity-are why our people love working at A&M. A&M's Private Equity Performance Improvement Services (PEPI) practice, with offices throughout the US, focuses on serving upper middle market and large cap private equity firms who have engaged A&M to help improve operating results at their portfolio companies. The companies we assess are upper middle market in the 50 million to 1 billion plus range. Our professionals are aligned with a PEPI service line to promote the development of deep functional skills & experiences and to maximize our ability to tailor solutions to solve our clients' business issues. Our PEPI services include: AI Transformation CDD/Strategy Interim Management Merger Integration & Carve-outs IT Rapid Results Supply Chain CFO Services AI Transformation Practice The AI Transformation team works directly with private equity firms and their portfolio companies to drive value through applied AI. Our engagements span: AI disruption diligence AI strategy and operating model design Margin expansion and cost optimization through automation and analytics Process redesign and workflow transformation AI-enabled product builds and digital capabilities New growth initiatives powered by data and advanced analytics End-to-end transformation execution, governance and value tracking We align AI initiatives with investment theses, financial targets, and operational realities to ensure durable impact. How you will contribute As a Director in the PE AI Transformation team, you will lead AI-driven value creation engagements independently across the private equity lifecycle. You will serve as the senior delivery leader responsible for structuring workstreams, managing client relationships, and ensuring financial outcomes are achieved. This role requires strong program management capabilities, operational transformation experience, and the ability to translate AI opportunities into concrete business results. Key Responsibilities Engagement Leadership Lead AI transformation engagements across PE-backed portfolio companies, owning scope, workplan, deliverables, and executive-level communication Manage cross-functional teams spanning strategy, operations, technology, and data to ensure disciplined execution against defined financial targets AI Strategy, Diligence & Value Creation Identify and prioritize AI use cases aligned to EBITDA improvement, margin expansion, and growth objectives Lead AI-focused diligence workstreams, assessing AI maturity, technical capabilities, and value potential Develop AI-enabled operating models and transformation roadmaps grounded in operational feasibility and financial impact Transformation Execution & Governance Establish program governance, KPI tracking, and reporting frameworks tied to value realization Oversee vendors and implementation partners while managing timelines, budgets, and execution risks Redesign core processes to embed AI into day-to-day operations and align organization structures with new capabilities Practice Contribution Support business development efforts, including proposal development and client presentations Mentor junior team members and contribute to the development of AI transformation methodologies and assets Qualifications Required Experience 8-12+ years of experience in strategy consulting, operational transformation, or value creation roles Demonstrated leadership of complex, multi-workstream transformation programs with measurable financial outcomes Strong PMO and program governance experience Experience working with private equity firms or PE-backed portfolio companies Track record of delivering margin improvement, cost optimization, or growth initiatives AI & Technology Fluency Working understanding of AI applications in business contexts (automation, predictive analytics, generative AI) Experience translating AI opportunities into operational and financial impact Ability to engage credibly with both executive stakeholders and technical teams Preferred Background Experience at a top-tier consulting firm Operational transformation and process redesign experience MBA or advanced degree preferred Your journey at A&M We recognize that our people are the driving force behind our success, which is why we prioritize an employee experience that fosters each person's unique professional and personal development. Our robust performance development process promotes continuous learning, rewards your contributions, and fosters a culture of meritocracy. With top-notch training and on-the-job learning opportunities, you can acquire new skills and advance your career. We prioritize your well-being, providing benefits and resources to support you on your personal journey. Our people consistently highlight the growth opportunities, our unique, entrepreneurial culture, and the fun we have together as their favorite aspects of working at A&M. The possibilities are endless for high-performing and passionate professionals. Benefits Summary Full-time Positions and Part-time Positions Over 30 hours Regular employees working 30 or more hours per week are also entitled to participate in Alvarez & Marsal Holdings' fringe benefits consisting of healthcare plans, flexible spending and savings accounts, life, AD&D, and disability coverages at rates determined periodically as well as a 401(k) retirement savings plan. Provided the eligibility requirements are met, employees will also receive an annual discretionary contribution to their 401(k) retirement savings plan from Alvarez & Marsal. Additionally, employees are eligible for paid time off including vacation, personal days, seventy-two (72) hours of sick time (prorated for part time employees), ten federal holidays, one floating holiday, and parental leave. The amount of vacation and personal days available varies based on tenure and role type. Click here for more information regarding A&M's benefits programs. The salary range is $150,000 - $225,000 annually, dependent on several variables including but not limited to education, experience, skills, and geography. In addition, A&M offers a discretionary bonus program which is based on a number of factors, including individual and firm performance. Please ask your recruiter for details. #LI-CP1", "salary_raw": "Row(double=None, string='USD 150,000.00 - 225,000.00 per year')"}	https://www.dice.com/job-detail/b7cfbd47-0374-47de-aa22-0543193d7ce0	https://www.dice.com/jobs?q=ARREGLO%20CONSULTING&filters.postedDate=ONE	2026-04-09 21:12:45	
Manager, Forensic Technology Services (eDiscovery Consulting)	Alvarez &amp;amp; Marsal		USD $100,000.00 - 140,000.00 per year	2026-04-09T13:09:18.000Z	Full Time	On-site	{"description": " Description About Alvarez & Marsal Alvarez & Marsal (A&M) is a global consulting firm with over 10,000 entrepreneurial, action and results-oriented professionals in over 40 countries. We take a hands-on approach to solving our clients' problems and assisting them in reaching their potential. Our culture celebrates independent thinkers and doers who positively impact our clients and shape our industry. The collaborative environment and engaging work-guided by A&M's core values of Integrity, Quality, Objectivity, Fun, Personal Reward, and Inclusive Diversity-are why our people love working at A&M. The Team Our talent drives our success, resulting in A&M's Forensic Technology Services being a recognized leading provider of Forensic Technology investigation support services. A&M's team is comprised of experienced digital forensics, eDiscovery, data science, cybersecurity and privacy professionals and experts who come from the world's largest law firms, professional services firms, leading forensic technology firms, Fortune 500 corporations, and law enforcement/government agencies. Our team's expertise spans electronic discovery and disclosure management, digital forensics, forensic data analytics, cyber risk and incident response, privacy, information governance and data compliance. By combining operational expertise with legally defensible procedures and industry-leading technology, A&M's professionals deliver reliable, innovative solutions to meet each of our client's unique needs and challenges. As a firm we are experiencing unprecedented growth and demand for our services and as a result we are expanding our high-profile Forensic team. How you will contribute Serving as a practice leader and primary client contact, you will work closely with our clients to provide eDiscovery support leveraging a broad range of technologies and industry-leading best practices to uncover and manage data-based evidence and intelligence across a variety of contentious legal and regulatory situations. Our eDiscovery Manager position offers an opportunity to be part of a team that supports a variety of industry sectors, dispute types, and geographic jurisdictions. The problems these consultants solve for A&M's clients are complex and require innovative solutions that call on a comprehensive range of best-in-class forensic data and evidence preservation procedures. Some of the key activities you'll be doing include: Serve as the main point of contact in the execution of projects involving the identification, collection, processing, review, and production of electronic data relevant to litigation or investigations. Collaborate with clients to implement efficient workflows, proactively identify and mitigate risk, apply quality control, address technical challenges to make data discoverable, viewable and useful. Lead a team of e-Discovery forensic data collection engineers. Accurately and proactively communicates with client and team members regarding upcoming commitments and deadlines, project status updates, and issues or challenges. Maintain consistent communication and coordination with clients and team members to ensure timely completion of tasks, establish project goals, review associated costs, etc. Responsible for end - to - end project management and execution of projects (e.g., planning, resourcing, organizing, and reviewing), managing time and tasks to meet client deadlines. Lead external and internal meetings to review work results. Ensure eDiscovery best practices are followed to ensure the accuracy and reliability of analysis by performing quality control checks. Provides end - to - end project support for the team and the client in data collection, database administration and management, and analysis, including gathering requirements from stakeholders, developing and maintaining project plans and documents. Responsible for daily electronic data discovery collection efforts including digital forensic data collections. Utilize Relatively and similar eDiscovery tools to collaborate and review workflows with clients. Produce consistent and thorough documentation and summaries of team's data collection efforts, tracking, and reporting. Identifying opportunities for process improvement and streamlining. Who will you be working with? At A&M, you will have the opportunity to work with a close-knit and diverse team of supportive and motivated professionals who enjoy sharing their knowledge and depth of industry experience with others. The Forensic Technology team at A&M is made up of senior eDiscovery, forensic technologists, data analytics, cybersecurity and privacy experts, lawyers, and investigators from various backgrounds who bring and share their extensive expertise in conducting investigations, delivering expert witness reports, and providing forensic technology services. We have an inclusive development environment in which everyone can learn and grow. Our culture is defined by openness and entrepreneurial thinking, with a foundation of mutual respect and high work standards. Through advancement opportunities and a motivating performance-based reward structure, we strive to eliminate bureaucracy in favor of recognizing effort and results. Qualifications: A bachelor's degree from an accredited university is required, with a preference for computer science, information management, data science, or related fields. 5-7+ years of relevant professional experience. Strong analytical and problem-solving skills combined with the ability to synthesize information from several sources and draw coherent, well-evidenced conclusions. Excellent project management and organizational skills, with the ability to manage and prioritize multiple tasks, projects, while meeting established deadlines and delivery objectives. Exceptional client service and follow-up skills, including interpersonal and relationship building skills. Excellent written and verbal communications skills. Fast learner, eager to learn new technologies in a fast-paced, challenging, and uncertain environment. Preferred Attributes: Familiarity with industry-standard review and production tools including Relativity, Reveal, Nuix, Brainspace, etc. Experience in using FTK, EnCase, Macquisition, Paladin, Kali and other digital forensics is advantageous but not required. Extensive experience with standard eDiscovery methodology and best practices. Sound technical understanding of the Electronic Discovery Reference Model (EDRM). Experience using Relativity Server and Relativity one as an advanced user and database administrator. Experience with document review management is beneficial but not required. Your journey at A&M We recognize that our people are the driving force behind our success, which is why we prioritize an employee experience that fosters each person's unique professional and personal development. Our robust performance development process promotes continuous learning, rewards your contributions, and fosters a culture of meritocracy. With top-notch training and on-the-job learning opportunities, you can acquire new skills and advance your career. We prioritize your well-being, providing benefits and resources to support you on your personal journey. Our people consistently highlight the growth opportunities, our unique, entrepreneurial culture, and the fun we have together as their favorite aspects of working at A&M. The possibilities are endless for high-performing and passionate professionals. How will you grow and be supported? As an eDiscovery Manager, you will have the opportunity to take your career to the next level by gaining invaluable experience across different industries, sectors, and companies on a variety of interesting and critical projects, from employee investigations to large corporate litigations. Utilizing your technical background, organizational skills, and relationship skills, you will have the opportunity to apply your analysis skills in complex, ambiguous situations working directly with clients. You will be working closely as a team with experienced professionals who will provide you with developmental feedback and growth opportunities. We offer competitive benefits and opportunities to support your personal and professional development. Click to learn about our commitment to your well-being. A&M recognizes that our people drive our growth, and you will be provided with the best available training and development resources through formalized and on the job training, as well as networking opportunities Learn more about why A&M is a wonderful place to work. Regular employees working 30 or more hours per week are also entitled to participate in Alvarez & Marsal Holdings' fringe benefits consisting of healthcare plans, flexible spending and savings accounts, life, AD&D, and disability coverages at rates determined periodically as well as a 401(k) retirement savings plan. Provided the eligibility requirements are met, employees will also receive an annual discretionary contribution to their 401(k) retirement savings plan from Alvarez & Marsal. Additionally, employees are eligible for paid time off including vacation, personal days, seventy-two (72) hours of sick time (prorated for part time employees), ten federal holidays, one floating holiday, and parental leave. The amount of vacation and personal days available varies based on tenure and role type. Click here for more information regarding A&M's benefits programs. The salary range is $100,000 - $140,000 annually, dependent on several variables including but not limited to education, experience, skills, and geography. In addition, A&M offers a discretionary bonus program which is based on a number of factors, including individual and firm performance. Please ask your recruiter for details. A&M does not require or administer lie detector tests as a condition of employment or continued employment. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability. #LI-NM1", "salary_raw": "Row(double=None, string=None)"}	https://www.dice.com/job-detail/00eaed81-51ae-401c-a818-f4d4f65c9780	https://www.dice.com/jobs?q=ARREGLO%20CONSULTING&filters.postedDate=ONE	2026-04-09 21:12:47	
IT Analyst	SAIC	Washington, DC, US	USD $100,000.00 - 120,000.00 per year	2026-04-09T05:06:46.000Z	Full Time	On-site	Job ID: 2611109 Location: Washington, DC, US Date Posted: 2026-04-08 Category: Information Technology Subcategory: IT Asset Mgmt Schedule: Full-Time Shift: Day Job Travel: No Minimum Clearance Required: Secret Clearance Level Must Be Able to Obtain: TS/SCI Potential for Remote Work: ORA_ON_SITE Description ? SAIC is seeking an IT Analyst to support the Department of War Office of Strategic Capital (OSC). This position will provide hands-on support and expertise to maintain reliable and efficient day-to-day IT operations for the OSC customer. The IT Analyst is responsible for providing initial troubleshooting for office hardware, including but not limited to printers, docking stations, laptops, and government-issued mobile phones. Excellent communication skills and ability to work in a fast paced environment are required to provide handle IT issues quickly, provide proactive status updates, and translate technical information into understandable terms for non-technical staff. Occasional local travel between the OSC Office in Washington, DC and the Pentagon will be required. This position is full time onsite in Washington, DC. Responsibilities Include: First-line technical support for end-user IT issues, diagnosing and resolving problems related to hardware (laptops, printers, docking stations, mobile devices), software (Microsoft 365), user accounts (disabled accounts, first-time login), and network connectivity (VPN, commercial internet). Ensuring the office's commercial internet connection is operating efficiently. Monitoring and reporting printer issues to relevant office stakeholder IT support. Tracking all IT requests from the organization and submitting them to the appropriate support agency. Assist users with basic software issues and user account access problems. Maintaining a comprehensive log of all service requests and their resolutions and tracking all government-issued software licenses. Managing a dedicated on-site server room or network closet environment. Ensuring compliant IT security management. Assist OSC customer with IT project tracking and execution, as required. Full-time salary for this position is targeted between $100-$120K based on education, experience, and skills. Qualifications Required Education and Experience: Bachelor's degree in information technology, computer science, or a related field. Minimum of five (5) years of experience. Experience working with the Defense Information Systems Agency (DISA) and operating within the NIPRNet environment via VPN is required. Must have proven experience providing first-line IT support, including troubleshooting hardware, software (specifically Microsoft 365), and common user account access problems, such as disabled accounts, VPN connectivity, and initial login assistance. Must have proven experience managing and troubleshooting local area networks, including monitoring commercial internet service and supporting the associated infrastructure (routers, switches, and access points). Required Clearance: U.S. Citizenship required. Active SECRET required. Must be able to obtain and maintain a TS/SCI. Required Skills: Understanding and application of government IT security best practices (including RMF, NIST frameworks, where applicable). Development of SOPs, training materials, and technical documentation. Clear and effective communication skills. Target salary range: $80,001 - $120,000. The estimate displayed represents the typical salary range for this position based on experience and other factors. <![CDATA[SAIC is a premier technology integrator providing full life cycle services and solutions in the technical, engineering, intelligence, and enterprise information technology markets. SAIC is Redefining Ingenuity through its deep customer and domain knowledge to enable the delivery of systems engineering and integration offerings for large, complex projects. SAIC's approximately 15,000 employees are driven by integrity and mission focus to serve customers in the U.S. federal government. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $4.5 billion. For more information, visit saic.com. For information on the benefits SAIC offers, see .	https://www.dice.com/job-detail/f254a2ed-98d9-4e41-a754-1d7c36bae288	https://www.dice.com/jobs?q=AETEA%20INFORMATION%20TECHNOLOGY&filters.postedDate=ONE	2026-04-09 21:12:48	
